OBJECTID,OccurredFrom_Timestamp,OccurredThrough_Timestamp,Reported_Timestamp,Statute_Text,Statute_Description,Weapon_Description,Larceny_Type,Location_Type,x,y
1,1585482840000,1585482840000,1585497240000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.59027163497444,43.15979717751293
5,1585351800000,1585351800000,1585397520000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Semiautomatic Handgun,* No Larceny Type Specified *,Single Family Home,,
8,1585643400000,1585643880000,1585658280000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Semiautomatic Handgun,* No Larceny Type Specified *,Multiple Dwelling,,
14,1585695600000,1585708440000,1585722840000,Aggravated Assault,Menacing 2nd: Weapon                                        ,Semiautomatic Handgun,* No Larceny Type Specified *,Yard,-77.58907754177659,43.13756643132281
15,1585579020000,1585600980000,1585615380000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.57214314683249,43.17443407803001
29,1584878400000,1584890220000,1584911700000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Other Business Office,-77.55055760824845,43.14643400480259
40,1585162800000,1585168200000,1585182840000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,-77.58326554762643,43.16313086889767
41,1583580000000,1583580000000,1585147500000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.60865571493481,43.14665826312565
42,1585089000000,1585119600000,1585156920000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.65002793677468,43.13878622286586
47,1585065600000,1585134000000,1585149780000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,College,-77.6307442212204,43.13367158696912
49,1584532800000,1584653640000,1584664620000,Motor Vehicle Theft,Unauthorized Use of a Vehicle: Without Owner Consent        ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,,
50,1585065000000,1585074600000,1585090800000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,Hospital,-77.62435792572026,43.12360794627447
52,1585096200000,1585119600000,1585135800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,,
53,1584748800000,1584748800000,1584804180000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.54193207597618,43.15577559086281
54,1584822480000,1584822480000,1584836880000,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,Knife/Cutting Instrument,* No Larceny Type Specified *,Parking Lot,-77.63914184155246,43.21571286371088
57,1585051200000,1585076400000,1585173900000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.63455786031872,43.131960046267345
58,1584808200000,1584808200000,1585013280000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Outside Location,-77.63455786031872,43.131960046267345
59,1584965580000,1584979200000,1584995580000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Multiple Dwelling,-77.61613542078943,43.173431503166896
60,1584705600000,1584706500000,1584727800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Shoplifting,Gas Station,-77.63336971209179,43.16608370860063
61,1584532800000,1584603000000,1584623400000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,Single Family Home,-77.5407048539477,43.160291967512215
62,1584734400000,1584880200000,1584904620000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.59770411930387,43.13548068125667
63,1584741600000,1584795600000,1584813360000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,Pocket-picking,Multiple Dwelling,-77.56634743685535,43.162784397969524
36661,1581075900000,1581075900000,1581699300000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Residential,-77.5857736143142,43.17578546784554
36680,1581879600000,1581879600000,1581904740000,Motor Vehicle Theft,Unauthorized Use of a Vehicle: Without Owner Consent        ,* No Weapon Specified *,Motor Vehicle Theft,Street,-77.58379435313913,43.1872455569645
36916,1585501200000,1585573200000,1585685400000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,-77.5887587227462,43.14603576087909
36931,1585711800000,1585712340000,1585753620000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Other Building,-77.63187873498686,43.17857428028785
37011,1582385400000,1582386300000,1582493100000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Gas Station,-77.55955148126122,43.171241657232514
37025,1583679600000,1583749800000,1583764200000,Burglary,Burglary 3rd: Illegal Entry with Intent to Commit a Crime   ,* No Weapon Specified *,* No Larceny Type Specified *,Other Building,-77.65899927264172,43.16498565722081
37122,1581775200000,1581789600000,1581879600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Restaurant,-77.66388223003335,43.16505707179295
37142,1583751000000,1583764200000,1583784240000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,School,-77.56445482502627,43.143090523105435
37207,1583942400000,1583958600000,1583973480000,Larceny,Grand Larceny 4th: Credit Card                              ,* No Weapon Specified *,All Other Larcenies,Street,-77.64811031221781,43.1634372607365
37420,1582429680000,1582429680000,1582451220000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Single Family Home,-77.60046387386896,43.16722286992364
37473,1581793200000,1582012800000,1582040640000,Burglary,Burglary 2nd: Illegal Entry: Dwelling                       ,* No Weapon Specified *,* No Larceny Type Specified *,Other Residential,-77.58543039591413,43.15312249413071
37483,1583324400000,1583325000000,1583345580000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Theft from Motor Vehicle,Street,-77.60298360661425,43.155947091326276
37577,1580786820000,1580786820000,1580804820000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Bar,-77.62706317607939,43.23074323128402
37801,1581015600000,1581030000000,1581092160000,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,* No Weapon Specified *,All Other Larcenies,Multiple Dwelling,-77.59647639451978,43.18077328739886
37844,1584096300000,1584096300000,1584115800000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Retail Store,-77.59915571376558,43.17512122461779
37922,1582631100000,1582632300000,1582659600000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Barber/Beauty Shop,-77.62911704703873,43.14182826911689
38303,1584712200000,1584712500000,1584734820000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,All Other Larcenies,Other Building,-77.61167334552144,43.19416640212771
38440,1585308300000,1585308420000,1585323180000,Larceny,Petit Larceny                                               ,* No Weapon Specified *,Shoplifting,Gas Station,-77.62645394238655,43.231168402740316
38441,1582515480000,1582515480000,1582533480000,Robbery,Robbery 2nd: Displays What Appears To Be a Firearm          ,Firearm,* No Larceny Type Specified *,Gas Station,-77.62645394238655,43.231168402740316
